RUBRO               ;MOTOR       ; CODIGO  ;NRO. FABRICA;ARTICULO,APLICACION,MEDIDA Y MARCA ;INF. TECNICA                       ;PUBLICO C/IVA;MV;STOCK
COJINETE DE BIELA   ;BEDFORD     ;000291510;6-2915RA    ;C.BIE.BEDF 3.7/8 010 FM            ;                                   ;        11900;01;   SI
COJINETE DE BIELA   ;BEDFORD     ;000291520;6-2915RA    ;C.BIE.BEDF 3.7/8 020 FM            ;                                   ;        11900;01;   SI
COJINETE DE BIELA   ;BEDFORD     ;000291530;6-2915RA    ;C.BIE.BEDF 3.7/8 030 FM            ;                                   ;        11900;01;   SI
COJINETE DE BIELA   ;BEDFORD     ;000291540;6-2915RA    ;C.BIE.BEDF 3.7/8 040 FM            ;                                   ;        11900;01;   SI
COJINETE DE BIELA   ;BEDFORD     ;000291550;6-2915RA    ;C.BIE.BEDF 3.7/8 050 FM            ;                                   ;        11900;01;   SI
COJINETE DE BIELA   ;BEDFORD     ;000291500;6-2915RA    ;C.BIE.BEDF 3.7/8 STD FM            ;                                   ;        11900;01;   SI
COJINETE DE BIELA   ;VM BORGWARD ;000125530;4-1255CP    ;C.BIE.BORGWARD 4CIL 92MM 0,75 FM   ;                                   ;        29200;01;   SI
COJINETE DE BIELA   ;CHEVROLET   ;000202010;6-2020RA    ;C.BIE.CHEV.194/230/250 010 FM      ;                                   ;         6236;01;   SI
COJINETE DE BIELA   ;CHEVROLET   ;000202020;6-2020RA    ;C.BIE.CHEV.194/230/250 020 FM      ;                                   ;         6236;01;   SI
COJINETE DE BIELA   ;CHEVROLET   ;000202030;6-2020RA    ;C.BIE.CHEV.194/230/250 030 FM      ;                                   ;         6236;01;   SI
COJINETE DE BIELA   ;CHEVROLET   ;000202040;6-2020RA    ;C.BIE.CHEV.194/230/250 040 FM      ;                                   ;         6236;01;   SI
COJINETE DE BIELA   ;CHEVROLET   ;000202050;6-2020RA    ;C.BIE.CHEV.194/230/250 050 FM      ;                                   ;         6236;01;   SI
COJINETE DE BIELA   ;CHEVROLET   ;000202060;6-2020RA    ;C.BIE.CHEV.194/230/250 060 FM      ;                                   ;         6236;01;   SI
COJINETE DE BIELA   ;CHEVROLET   ;000202000;6-2020RA    ;C.BIE.CHEV.194/230/250 STD FM      ;                                   ;         6236;01;   SI
COJINETE DE BIELA   ;CHEVROLET   ;000202120;4-68065RA # ;C.BIE.CHEV.CHEVETTE 1.4/1.6 020 FM ;                                   ;         6668;01;   SI
COJINETE DE BIELA   ;CHEVROLET   ;000202140;4-68065RA # ;C.BIE.CHEV.CHEVETTE 1.4/1.6 040 FM ;                                   ;         6668;01;   SI
COJINETE DE BIELA   ;CHEVROLET   ;000202150;4-68065RA # ;C.BIE.CHEV.CHEVETTE 1.4/1.6 050 FM ;                                   ;         6668;01;   SI
COJINETE DE BIELA   ;CHEVROLET   ;000202100;4-68065RA # ;C.BIE.CHEV.CHEVETTE 1.4/1.6 STD FM ;                                   ;         6668;01;   SI
COJINETE DE BIELA   ;CHEVROLET   ;000421010;4-4210RA    ;C.BIE.CHEV.CORSA 1.0/4/6/8 010 FM  ;                                   ;         4133;01;   SI
COJINETE DE BIELA   ;CHEVROLET   ;000421020;4-4210RA    ;C.BIE.CHEV.CORSA 1.0/4/6/8 020 FM  ;                                   ;         4133;01;   SI
COJINETE DE BIELA   ;CHEVROLET   ;000421030;4-4210RA    ;C.BIE.CHEV.CORSA 1.0/4/6/8 030 FM  ;                                   ;         4133;01;   SI
COJINETE DE BIELA   ;CHEVROLET   ;000421040;4-4210RA    ;C.BIE.CHEV.CORSA 1.0/4/6/8 040 FM  ;                                   ;         4133;01;   SI
COJINETE DE BIELA   ;CHEVROLET   ;000421000;4-4210RA    ;C.BIE.CHEV.CORSA 1.0/4/6/8 STD FM  ;                                   ;         4133;01;   SI
COJINETE DE BIELA   ;CHEVROLET   ;000421210;4-4210RAB   ;C.BIE.CHEV.CRUZE 1.6 16V 0.25 FM   ;                                   ;         6668;01;   SI
COJINETE DE BIELA   ;CHEVROLET   ;000421220;4-4210RAB   ;C.BIE.CHEV.CRUZE 1.6 16V 0.50 FM   ;                                   ;         6668;01;   SI
COJINETE DE BIELA   ;CHEVROLET   ;000421230;4-4210RAB   ;C.BIE.CHEV.CRUZE 1.6 16V 0.75 FM   ;                                   ;         6668;01;   SI
COJINETE DE BIELA   ;CHEVROLET   ;000421240;4-4210RAB   ;C.BIE.CHEV.CRUZE 1.6 16V 1.00 FM   ;                                   ;         6668;01;   SI
COJINETE DE BIELA   ;CHEVROLET   ;000421200;4-4210RAB   ;C.BIE.CHEV.CRUZE 1.6 16V STD FM    ;                                   ;         6668;01;     
COJINETE DE BIELA   ;CHEVROLET   ;000149010;4-1490CPA   ;C.BIE.CHEV.VECTRA 1.6/8/2.0 010 FM ;                                   ;        12892;01;   SI
COJINETE DE BIELA   ;CHEVROLET   ;000149020;4-1490CPA   ;C.BIE.CHEV.VECTRA 1.6/8/2.0 020 FM ;                                   ;        12892;01;   SI
COJINETE DE BIELA   ;CHEVROLET   ;000149030;4-1490CPA   ;C.BIE.CHEV.VECTRA 1.6/8/2.0 030 FM ;                                   ;        12892;01;   SI
COJINETE DE BIELA   ;CHEVROLET   ;000149040;4-1490CPA   ;C.BIE.CHEV.VECTRA 1.6/8/2.0 040 FM ;                                   ;        12892;01;   SI
COJINETE DE BIELA   ;CHEVROLET   ;000149000;4-1490CPA   ;C.BIE.CHEV.VECTRA 1.6/8/2.0 STD FM ;                                   ;        12892;01;   SI
COJINETE DE BIELA   ;CHEVROLET   ;000195010;6-1950CP #  ;C.BIE.CHEV/APACHE B 010 FM         ;                                   ;        18411;01;   SI
COJINETE DE BIELA   ;CHEVROLET   ;000357010;4-3570CPB # ;C.BIE.CHEV/LUV/NAFT/4ZD1-4ZB1 0,25 ;                                   ;         7501;01;   SI
COJINETE DE BIELA   ;DAIHATSU    ;000666520;2-66765CP   ;C.BIE.DAIHATSU CUORE 0,50 FM       ;                                   ;         8671;01;     
COJINETE DE BIELA   ;DEUTZ       ;000696010;1-61960CPA  ;C.BIE.DEUTZ 1114 C/U\A 0,25 FM     ;                                   ;        39857;01;   SI
COJINETE DE BIELA   ;DEUTZ       ;000696020;1-61960CPA  ;C.BIE.DEUTZ 1114 C/U\A 0,50 FM     ;                                   ;        39857;01;   SI
COJINETE DE BIELA   ;DEUTZ       ;000696030;1-61960CPA  ;C.BIE.DEUTZ 1114 C/U\A 0,75 FM     ;                                   ;        39857;01;   SI
COJINETE DE BIELA   ;DEUTZ       ;000696040;1-61960CPA  ;C.BIE.DEUTZ 1114 C/U\A 1,00 FM     ;                                   ;        39857;01;   SI
COJINETE DE BIELA   ;DEUTZ       ;000696000;1-61960CPA  ;C.BIE.DEUTZ 1114 C/U\A STD FM      ;                                   ;        39857;01;   SI
COJINETE DE BIELA   ;DEUTZ       ;000696045;1-61960CPA #;C.BIE.DEUTZ 1114 C/U\A STD/0,75 FM ;                                   ;        39857;01;   SI
COJINETE DE BIELA   ;DEUTZ       ;000796010;1-61960CP   ;C.BIE.DEUTZ 1114 PF 0,25 FM        ;                                   ;        43100;01;   SI
COJINETE DE BIELA   ;DEUTZ       ;000796020;1-61960CP   ;C.BIE.DEUTZ 1114 PF 0,50 FM        ;                                   ;        43100;01;   SI
COJINETE DE BIELA   ;DEUTZ       ;000796030;1-61960CP   ;C.BIE.DEUTZ 1114 PF 0,75 FM        ;                                   ;        43100;01;   SI
COJINETE DE BIELA   ;DEUTZ       ;000796040;1-61960CP   ;C.BIE.DEUTZ 1114 PF 1,00 FM        ;                                   ;        43100;01;   SI
COJINETE DE BIELA   ;DEUTZ       ;000796000;1-61960CP   ;C.BIE.DEUTZ 1114 PF STD FM         ;                                   ;        43100;01;   SI
COJINETE DE BIELA   ;DEUTZ       ;000796045;1-61960CP # ;C.BIE.DEUTZ 1114 PF STD/0,75 FM    ;                                   ;        43100;01;   SI
COJINETE DE BIELA   ;DEUTZ       ;000658510;1-66585CP   ;C.BIE.DEUTZ 913 0,25 FM            ;                                   ;        15008;01;   SI
COJINETE DE BIELA   ;DEUTZ       ;000658520;1-66585CP   ;C.BIE.DEUTZ 913 0,50 FM            ;                                   ;        15008;01;   SI
COJINETE DE BIELA   ;DEUTZ       ;000658530;1-66585CP   ;C.BIE.DEUTZ 913 0,75 FM            ;                                   ;        15008;01;   SI
COJINETE DE BIELA   ;DEUTZ       ;000658540;1-66585CP   ;C.BIE.DEUTZ 913 1.00 FM            ;                                   ;        15008;01;   SI
COJINETE DE BIELA   ;DEUTZ       ;000658500;1-66585CP   ;C.BIE.DEUTZ 913 STD FM             ;                                   ;        15008;01;   SI
COJINETE DE BIELA   ;DEUTZ       ;000659010;6-66590CP   ;C.BIE.DEUTZ 913 TURBO 0,25 MM FM   ;                                   ;        16018;01;   SI
COJINETE DE BIELA   ;DEUTZ       ;000659020;6-66590CP   ;C.BIE.DEUTZ 913 TURBO 0,50 MM FM   ;                                   ;        16018;01;   SI
COJINETE DE BIELA   ;DEUTZ       ;000659030;6-66590CP   ;C.BIE.DEUTZ 913 TURBO 0,75 MM FM   ;                                   ;        16018;01;   SI
COJINETE DE BIELA   ;DEUTZ       ;000659040;6-66590CP   ;C.BIE.DEUTZ 913 TURBO 1.00 MM FM   ;                                   ;        16018;01;   SI
COJINETE DE BIELA   ;DEUTZ       ;000659000;6-66590CP   ;C.BIE.DEUTZ 913 TURBO STD FM       ;                                   ;        16018;01;     
COJINETE DE BIELA   ;SIAM        ;000205510;4-2055RA #  ;C.BIE.DI TELLA 1500 010 FM         ;                                   ;        39857;01;   SI
COJINETE DE BIELA   ;DODGE       ;000348010;4-3480RA    ;C.BIE.DODGE 1500 010 FM            ;                                   ;         8167;01;   SI
COJINETE DE BIELA   ;DODGE       ;000348020;4-3480RA    ;C.BIE.DODGE 1500 020 FM            ;                                   ;         8167;01;   SI
COJINETE DE BIELA   ;DODGE       ;000348030;4-3480RA    ;C.BIE.DODGE 1500 030 FM            ;                                   ;         8167;01;   SI
COJINETE DE BIELA   ;DODGE       ;000348040;4-3480RA    ;C.BIE.DODGE 1500 040 FM            ;                                   ;         8167;01;   SI
COJINETE DE BIELA   ;DODGE       ;000348050;4-3480RA    ;C.BIE.DODGE 1500 050 FM            ;                                   ;         8167;01;   SI
COJINETE DE BIELA   ;DODGE       ;000348000;4-3480RA    ;C.BIE.DODGE 1500 STD FM            ;                                   ;         8167;01;   SI
COJINETE DE BIELA   ;DODGE       ;000628010;4-62080RA   ;C.BIE.DODGE 1800 010 FM            ;                                   ;        11060;01;   SI
